"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","AFT20P140-4WN","AFT20P140-4WGNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT20P140-4WN&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-24-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT20P140-4WN?&fpsp=1&tab=Documentation_Tab#AFT20P140-4WGNR3","Airfast RF Power LDMOS Transistor, 1880-2025 MHz, 24 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT20P140-4WGNR3');trackRFAnalytics('AFT20P140-4WGNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","51.1","130","24 @ AVG","W-CDMA","17.6 @ 2025","41.2","0.6","I/O","AB, C","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","170","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT20P140-4WN","AFT20P140-4WNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT20P140-4WN&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-24-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT20P140-4WN?&fpsp=1&tab=Documentation_Tab#AFT20P140-4WNR3","Airfast RF Power LDMOS Transistor, 1880-2025 MHz, 24 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT20P140-4WNR3');trackRFAnalytics('AFT20P140-4WNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","51.1","130","24 @ AVG","W-CDMA","17.6 @ 2025","41.2","0.6","I/O","AB, C","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","170","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT26H250-24S","AFT26H250-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT26H250-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2496-2690-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT26H250-24S?&fpsp=1&tab=Documentation_Tab#AFT26H250-24SR6","Airfast RF Power LDMOS Transistor,  2496-2690 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT26H250-24SR6');trackRFAnalytics('AFT26H250-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2496","2690","28","53.6","230","50 @ AVG","W-CDMA","14.1 @ 2496","44.6","0.42","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","320","2496 to 2690","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S220W02S","AFT21S220W02GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S220W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT21S220W02S?&fpsp=1&tab=Documentation_Tab#AFT21S220W02GSR3","Airfast RF Power LDMOS Transistor,  2110-2170 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S220W02GSR3');trackRFAnalytics('AFT21S220W02GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","53.2","209","50 @ AVG","W-CDMA","19.1 @ 2140","29.3","0.56","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S220W02S","AFT21S220W02SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S220W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT21S220W02S?&fpsp=1&tab=Documentation_Tab#AFT21S220W02SR3","Airfast RF Power LDMOS Transistor,  2110-2170 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S220W02SR3');trackRFAnalytics('AFT21S220W02SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","53.2","209","50 @ AVG","W-CDMA","19.1 @ 2140","29.3","0.56","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18S290-13S","AFT18S290-13SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18S290-13S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18S290-13S?&fpsp=1&tab=Documentation_Tab#AFT18S290-13SR3","Airfast RF Power LDMOS Transistor, 1805-1995 MHz 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18S290-13SR3');trackRFAnalytics('AFT18S290-13SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","54.2","263","63 @ AVG","W-CDMA","18.2 @ 1960","31.2","0.42","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18S260W31S","AFT18S260W31GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18S260W31S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT18S260W31S?&fpsp=1&tab=Documentation_Tab#AFT18S260W31GSR3","AIRFAST RF POWER LDMOS TRANSISTORS 1805-1995 MHz, 50 W AVG. 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18S260W31GSR3');trackRFAnalytics('AFT18S260W31GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","53.6","229","50 @ AVG","W-CDMA","19.6 @ 1880","29.3","0.32","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18S260W31S","AFT18S260W31SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18S260W31S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT18S260W31S?&fpsp=1&tab=Documentation_Tab#AFT18S260W31SR3","AIRFAST RF POWER LDMOS TRANSISTORS 1805-1995 MHz, 50 W AVG. 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18S260W31SR3');trackRFAnalytics('AFT18S260W31SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","53.6","229","50 @ AVG","W-CDMA","19.6 @ 1880","29.3","0.32","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18S230S","AFT18S230SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18S230S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18S230S?&fpsp=1&tab=Documentation_Tab#AFT18S230SR3","Airfast RF Power LDMOS Transistor, 1805-1880 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18S230SR3');trackRFAnalytics('AFT18S230SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","53.2","207","50 @ AVG","W-CDMA","19 @ 1880","32","0.41","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18S230S","AFT18S230SR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18S230S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18S230S?&fpsp=1&tab=Documentation_Tab#AFT18S230SR5","Airfast RF Power LDMOS Transistor, 1805-1880 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18S230SR5');trackRFAnalytics('AFT18S230SR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","53.2","207","50 @ AVG","W-CDMA","19 @ 1880","32","0.41","I/O","AB","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT20P060-4N","AFT20P060-4GNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT20P060-4N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-6.3-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT20P060-4N?&fpsp=1&tab=Documentation_Tab#AFT20P060-4GNR3","Airfast RF Power LDMOS Transistor, 1805-2170 MHz 6.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT20P060-4GNR3');trackRFAnalytics('AFT20P060-4GNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","47.8","60","6.3 @ AVG","W-CDMA","18.9 @ 2170","20","0.56","I/O","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT20P060-4N","AFT20P060-4NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT20P060-4N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2170-mhz-6.3-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT20P060-4N?&fpsp=1&tab=Documentation_Tab#AFT20P060-4NR3","Airfast RF Power LDMOS Transistor, 1805-2170 MHz 6.3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT20P060-4NR3');trackRFAnalytics('AFT20P060-4NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2170","28","47.8","60","6.3 @ AVG","W-CDMA","18.9 @ 2170","20","0.56","I/O","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S140W02S","AFT21S140W02GSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S140W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT21S140W02S?&fpsp=1&tab=Documentation_Tab#AFT21S140W02GSR3","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 32 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S140W02GSR3');trackRFAnalytics('AFT21S140W02GSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","50.5","112","32 @ AVG","W-CDMA","19.3 @ 2140","33.5","0.59","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT21S140W02S","AFT21S140W02SR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT21S140W02S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-32-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT21S140W02S?&fpsp=1&tab=Documentation_Tab#AFT21S140W02SR3","Airfast RF Power LDMOS Transistor, 2110-2170 MHz, 32 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT21S140W02SR3');trackRFAnalytics('AFT21S140W02SR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","50.5","112","32 @ AVG","W-CDMA","19.3 @ 2140","33.5","0.59","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18S230-12N","AFT18S230-12NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18S230-12N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-50-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18S230-12N?&fpsp=1&tab=Documentation_Tab#AFT18S230-12NR3","AIRFAST RF POWER LDMOS TRANSISTOR, 1805--1880 MHz, 50 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18S230-12NR3');trackRFAnalytics('AFT18S230-12NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","53.1","204","50 @ AVG","W-CDMA","17.6 @ 1880","33.8","0.27","I/O","AB","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18P350-4S2L","AFT18P350-4S2LR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18P350-4S2L&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18P350-4S2L?&fpsp=1&tab=Documentation_Tab#AFT18P350-4S2LR6","Airfast RF Power LDMOS Transistor, 1805-1880 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18P350-4S2LR6');trackRFAnalytics('AFT18P350-4S2LR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","55","316","63 @ AVG","W-CDMA","16.1 @ 1805","44.5","0.39","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","394","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18H357-24S","AFT18H357-24SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18H357-24S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18H357-24S?&fpsp=1&tab=Documentation_Tab#AFT18H357-24SR6","AIRFAST RF POWER LDMOS TRANSISTOR, 1805-1995 MHz, 63 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18H357-24SR6');trackRFAnalytics('AFT18H357-24SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","28","53.4","220","63 @ AVG","W-CDMA","17.3 @ 1805","50.3","0.43","I/O","AB, C","LDMOS","2","-","Air Cavity 7","7","PRODUCT RAPID GROWTH(2)","320","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18H357-24N","AFT18H357-24NR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18H357-24N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18H357-24N?&fpsp=1&tab=Documentation_Tab#AFT18H357-24NR6","AIRFAST RF POWER LDMOS TRANSISTOR, 1805-1880 MHz, 63 W AVG., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18H357-24NR6');trackRFAnalytics('AFT18H357-24NR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","53","200","63 @ AVG","W-CDMA","17.5 @ 1805","48.7","0.23","I/O","AB, C","LDMOS","2","-","High Pwr RF SMT 7","7","PRODUCT RAPID GROWTH(2)","316","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09S282N","AFT09S282NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09S282N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/720-960-mhz-80-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT09S282N?&fpsp=1&tab=Documentation_Tab#AFT09S282NR3","Airfast RF Power LDMOS Transistor, 720-960 MHz, 80 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09S282NR3');trackRFAnalytics('AFT09S282NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","720","960","28","54.5","280","80 @ AVG","W-CDMA","20 @ 960","36.1","0.31","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","720 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18HW355S","AFT18HW355SR5","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18HW355S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18HW355S?&fpsp=1&tab=Documentation_Tab#AFT18HW355SR5","Airfast RF Power LDMOS Transistor, 1805-1880 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18HW355SR5');trackRFAnalytics('AFT18HW355SR5','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","55.4","350","63 @ AVG","W-CDMA","15.2 @ 1880","48.3","0.47","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","400","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT18HW355S","AFT18HW355SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT18HW355S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-63-w-avg.-28-v-airfast-rf-power-ldmos-transistor:AFT18HW355S?&fpsp=1&tab=Documentation_Tab#AFT18HW355SR6","Airfast RF Power LDMOS Transistor, 1805-1880 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT18HW355SR6');trackRFAnalytics('AFT18HW355SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","55.4","350","63 @ AVG","W-CDMA","15.2 @ 1880","48.3","0.47","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","400","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09H310-03S","AFT09H310-03SR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09H310-03S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-56-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT09H310-03S?&fpsp=1&tab=Documentation_Tab#AFT09H310-03SR6","Airfast RF Power LDMOS Transistor, 920-960 MHz, 56 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09H310-03SR6');trackRFAnalytics('AFT09H310-03SR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","52.6","180","56 @ AVG","W-CDMA","17.9 @ 920","47.4","0.41","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","390","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09H310-03S","AFT09H310-04GSR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09H310-03S&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-56-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT09H310-03S?&fpsp=1&tab=Documentation_Tab#AFT09H310-04GSR6","Airfast RF Power LDMOS Transistor, 920-960 MHz, 56 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09H310-04GSR6');trackRFAnalytics('AFT09H310-04GSR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","52.6","180","56 @ AVG","W-CDMA","17.9 @ 920","47.4","0.41","I/O","AB, C","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","390","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09S200W02N","AFT09S200W02GNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09S200W02N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/716-960-mhz-56-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT09S200W02N?&fpsp=1&tab=Documentation_Tab#AFT09S200W02GNR3","Airfast RF Power LDMOS Transistor, 716-960 MHz, 41 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09S200W02GNR3');trackRFAnalytics('AFT09S200W02GNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","716","960","28","53","200","56 @ AVG","W-CDMA","19.2 @ 960","36.5","0.35","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","716 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","AFT09S200W02N","AFT09S200W02NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=AFT09S200W02N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/716-960-mhz-56-w-avg.-28-v-airfast-rf-power-ldmos-transistors:AFT09S200W02N?&fpsp=1&tab=Documentation_Tab#AFT09S200W02NR3","Airfast RF Power LDMOS Transistor, 716-960 MHz, 41 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('AFT09S200W02NR3');trackRFAnalytics('AFT09S200W02NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","716","960","28","53","200","56 @ AVG","W-CDMA","19.2 @ 960","36.5","0.35","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","716 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
